"filename", "language", "Docker", "HTML", "JSON", "JavaScript", "Markdown", "Shell Script", "Batch", "CSS", "C#", "XML", "SCSS", "YAML", "SQL", "comment", "blank", "total"
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetNumberOfCompaniesApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetNumberOfEnteredCompaniesApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetNumberOfEnteredCompaniesWithoutPurchaseApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetNumberOfNotEnteredCompaniesApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetTotalEndorsementApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\UpdateCompanyByIdApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Purchases\CreatePurchaseApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Purchases\DeletePurchaseByIdApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Purchases\GetNumberofPurchasesApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Purchases\GetPurchaseByIdApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
